Record Type,Constituent ID,Individual Type,Prefix,First Name,Middle Name,Last Name,Suffix,Appellation,Salutation,Date of Birth,No Mail Flag,Deceased Flag
1A,45226405,CS,Mr.,Ryan, ,Swonke,,,Mr. Swonke,,,
1A,45226406,CS,Mrs.,Horace,C.,Luccous,,,Mrs. Luccous,,,
1A,45226407,CS,Mr.,Susan, ,Rhine,,,Mr. Rhine,19351214.0,,
1A,45226408,CS,Mrs.,Mindy,S.,Cirilo,,,Mrs. Cirilo,,,
1A,45226409,CS,Mrs.,Helen,E.,Nation,,,Mrs. Nation,,,
1A,45226410,CS,Mr.,Jane, ,Mccauley,,,Mr. Mccauley,19890504.0,,
1A,45226411,CS,Ms.,William,Joe,White,,,Ms. White,19800921.0,,
1A,45226412,CS,Ms.,Bobby,Stella,Norrix,,,Ms. Norrix,19760905.0,,
1A,45226415,CS,Mrs.,Jeanie, ,Jobe,,,Mrs. Jobe,19501115.0,,
1A,45226416,CS,Ms.,John,A.,Ramos,,,Ms. Ramos,,,
1A,45226417,CS,Mr.,John,H.,Morris,,,Mr. Morris,19870231.0,,
1A,45226418,CS,Ms.,Danielle,Shanon,Kim,,,Ms. Kim,19840522.0,,
1A,45226419,CS,Mrs.,Rebecca,S.,Introini,,,Mrs. Introini,19510604.0,,
1A,45226420,CS,Mr.,Adam,P.,Gerard,,,Mr. Gerard,19660412.0,,
1A,45226421,CS,Mr.,Rebecca, ,Anderson,,,Mr. Anderson,19520427.0,,
1A,45226422,CS,Ms.,Rodney,M.,Chan,,,Ms. Chan,19220818.0,,
1A,45226423,CS,Mr.,Vincent,Andrew,Patterson,,,Mr. Patterson,19740315.0,,
1A,45226425,CS,Mrs.,Anna, ,Craft,,,Mrs. Craft,19180316.0,,
1A,45226426,CS,Ms.,Michael,Andrew,Barnes,,,Ms. Barnes,19800406.0,,
1A,45226427,CS,Mrs.,Joseph,J.,Eaves,,,Mrs. Eaves,19750911.0,,
1A,45226428,CS,Mrs.,Mario,L.,Myers,,,Mrs. Myers,19841204.0,,
1A,45226429,CS,Mrs.,Nancy,R.,Greenwood,Sr.,,Mrs. Greenwood,19181026.0,,
1A,45226430,CS,Mrs.,Brian,W.,Burt,,,Mrs. Burt,19720204.0,,
1A,45226431,CS,Ms.,Jeffery, ,Bailey,,,Ms. Bailey,19731216.0,,
1A,45226432,CS,Ms.,Edwin,R.,Couch,,,Ms. Couch,20011230.0,,
1A,45226433,CS,Mrs.,Hector,E.,Alexander,,,Mrs. Alexander,19481230.0,,
1A,45226434,CS,Mr.,Tanya,J.,Rann,,,Mr. Rann,20040214.0,,
1A,45226435,CS,Mrs.,Natalie,Tina,Kell,,,Mrs. Kell,19260219.0,,
1A,45226436,CS,Mr.,Paul,A.,Stephens,,,Mr. Stephens,19941216.0,,
1A,45226437,CS,Mrs.,Connie,C.,Davis,,,Mrs. Davis,,,
1A,45226438,CS,Mrs.,Ronnie,Craig,Huie,,,Mrs. Huie,19121211.0,,
1A,45226439,CS,Ms.,Stephen,C.,Lear,,,Ms. Lear,19700602.0,,
1A,45226440,CS,Mr.,Leona,K.,Rickert,,,Mr. Rickert,19270323.0,,
1A,45226442,CS,Mrs.,Patricia,E.,Mcfaul,,,Mrs. Mcfaul,19040818.0,,
1A,45226443,CS,Mrs.,Richard,P.,Jeppesen,,,Mrs. Jeppesen,19461124.0,,
1A,45226444,CS,Ms.,Herman,S.,Grilli,,,Ms. Grilli,20020214.0,,
1A,45226445,CS,Ms.,Patricia,J.,Ingram,,,Ms. Ingram,,,
1A,45226446,CS,Mrs.,Robert,Guadalupe,Zimmerman,,,Mrs. Zimmerman,,,
1A,45226447,CS,Ms.,John,Vicki,Rutledge,,,Ms. Rutledge,,,
1A,45226448,CS,Ms.,Susan,E.,Owens,,,Ms. Owens,19381206.0,,
1A,45226449,CS,Mrs.,Robert,James,Kim,,,Mrs. Kim,19390323.0,,
1A,45226451,CS,Ms.,Juan, ,Jenkins,,,Ms. Jenkins,19410803.0,,
1A,45226452,CS,Ms.,Kathryne,George,Mastin,,,Ms. Mastin,19580107.0,,
1A,45226453,CS,Ms.,Michael,R.,Foster,,,Ms. Foster,19580829.0,,
1A,45226454,CS,Mr.,Christine,Pat,Kaufman,,,Mr. Kaufman,,,
1A,45226455,CS,Ms.,Carlos,Judith,Miller,,,Ms. Miller,,,
1A,45226456,CS,Mr.,Michael,D.,Rogers,,,Mr. Rogers,19281121.0,,
1A,45226457,CS,Mr.,Christine,M.,Grieb,,,Mr. Grieb,19380728.0,,
1A,45226458,CS,Ms.,Paul, ,Burns,,,Ms. Burns,,,
1A,45226459,CS,Mr.,Catalina,Maureen,Mesa,,,Mr. Mesa,19271029.0,,
1A,45226460,CS,Ms.,Christine,Lorraine,Hart,,,Ms. Hart,19980209.0,,
1A,45226461,CS,Mr.,Cindy,Bruce,Oates,,,Mr. Oates,19000421.0,,
1A,45226462,CS,Mrs.,Allan,S.,Anderson,,,Mrs. Anderson,19231217.0,,
1A,45226463,CS,Ms.,Joseph,L.,Smith,,,Ms. Smith,19280124.0,,
1A,45226464,CS,Mr.,Anne,Mary,Mclavrin,,,Mr. Mclavrin,19890531.0,,
1A,45226465,CS,Mrs.,Sharon,Ervin,Hernandez,,,Mrs. Hernandez,19230404.0,,
1A,45226466,CS,Ms.,Annette,M.,Ardoin,,,Ms. Ardoin,,,
1A,45226467,CS,Ms.,Hugh,B.,Cook,,,Ms. Cook,,,
1A,45226468,CS,Ms.,Judy,H.,Mendoza,,,Ms. Mendoza,19360404.0,,
1A,45226469,CS,Mr.,Margaret, ,Fried,,,Mr. Fried,20040329.0,,
1A,45226470,CS,Ms.,Eric,N.,Peay,,,Ms. Peay,19460501.0,,
1A,45226471,CS,Mr.,Diana, ,Hazelhurst,,,Mr. Hazelhurst,19670321.0,,
1A,45226472,CS,Mr.,Terry, ,Vaughn,,,Mr. Vaughn,,,
1A,45226475,CS,Mrs.,Joan,M.,Mrowka,,,Mrs. Mrowka,20090331.0,,
1A,45226477,CS,Mr.,Debra,H.,Stephens,,,Mr. Stephens,19050214.0,,
1A,45226478,CS,Mrs.,Peter,M.,Anderson,,,Mrs. Anderson,19301011.0,,
1A,45226479,CS,Mrs.,Timothy,F.,Pomerleau,,,Mrs. Pomerleau,19111224.0,,
1A,45226480,CS,Mr.,Wanda,M.,Edmonds,,,Mr. Edmonds,19670917.0,,
1A,45226481,CS,Ms.,Carissa, ,Mccann,,,Ms. Mccann,,,
1A,45226482,CS,Ms.,Deborah,H.,Reece,,,Ms. Reece,19030614.0,,
1A,45226483,CS,Ms.,Sara, ,Nix,,,Ms. Nix,19960520.0,,
1A,45226484,CS,Mr.,Margaret,E.,Nguyen,,,Mr. Nguyen,19230717.0,,
1A,45226485,CS,Mr.,Bobby,C.,James,,,Mr. James,19790809.0,,
1A,45226486,CS,Mrs.,Rebecca,E.,Lawson,,,Mrs. Lawson,19500520.0,,
1A,45226487,CS,Ms.,William,K.,Vogt,,,Ms. Vogt,19651229.0,,
1A,45226488,CS,Mr.,Monique, ,Rowden,,,Mr. Rowden,19411008.0,,
1A,45226489,CS,Mrs.,Amy,D.,Cauthen,,,Mrs. Cauthen,19810807.0,,
1A,45226490,CS,Mrs.,Anthony,P.,Brumfield,,,Mrs. Brumfield,19881218.0,,
1A,45226491,CS,Mrs.,Joy,K.,Haggard,,,Mrs. Haggard,20000606.0,,
1A,45226492,CS,Mr.,Nathaniel,N.,Demarsico,,,Mr. Demarsico,20080924.0,,
1A,45226493,CS,Mr.,Susan,E.,Babb,,,Mr. Babb,19890804.0,,
1A,45226494,CS,Mr.,Maria,Fannie,Brown,,,Mr. Brown,20050925.0,,
1A,45226495,CS,Mrs.,Roger,R.,Marquez,,,Mrs. Marquez,19881106.0,,
1A,45226496,CS,Mr.,Paula,S.,Dorich,,,Mr. Dorich,19641119.0,,
1A,45226497,CS,Mrs.,Karen,M.,Murphrey,,,Mrs. Murphrey,19671117.0,,
1A,45226499,CS,Mrs.,John,Treena,Miller,,,Mrs. Miller,19620629.0,,
1A,45226500,CS,Ms.,Teresa,P.,Montoya,,,Ms. Montoya,19011119.0,,
1A,45226501,CS,Mrs.,Michael, ,Parson,,,Mrs. Parson,19000223.0,,
1A,45226502,CS,Mrs.,Michelle,A.,Hughes,,,Mrs. Hughes,19430911.0,,
1A,45226503,CS,Ms.,Kathryn,C.,Nance,,,Ms. Nance,19540703.0,,
1A,45226504,CS,Ms.,Ester,M.,Bowden,,,Ms. Bowden,19930821.0,,
1A,45226505,CS,Mr.,Richard,James,Evans,,,Mr. Evans,19060116.0,,
1A,45226507,CS,Mrs.,Regina,S.,Tyler,,,Mrs. Tyler,,,
1A,45226509,CS,Ms.,Dolores,T.,Richardson,,,Ms. Richardson,20001130.0,,
1A,45226510,CS,Mrs.,Tangela,Bobby,Parker,,,Mrs. Parker,19830421.0,,
1A,45226511,CS,Mrs.,Max,G.,Spencer,,,Mrs. Spencer,,,
1A,45226512,CS,Mrs.,Nancy,J.,Wright,,,Mrs. Wright,19750313.0,,
1A,45226513,CS,Ms.,Shirley,A.,Fry,,,Ms. Fry,19370402.0,,
1A,45226514,CS,Mr.,Sandra, ,Conditt,,,Mr. Conditt,19841202.0,,
1A,45226515,CS,Mrs.,Marc,A.,Breedlove,,,Mrs. Breedlove,19830519.0,,
1A,45226516,CS,Mrs.,Elizabeth,J.,Miller,,,Mrs. Miller,19790907.0,,
1A,45226517,CS,Ms.,Jennifer,M.,Cornelius,,,Ms. Cornelius,20051022.0,,
1A,45226518,CS,Mr.,Sheila,V.,Sandlin,,,Mr. Sandlin,,,
1A,45226519,CS,Mrs.,Nancy,W.,Owenby,,,Mrs. Owenby,,,
1A,45226520,CS,Mrs.,Daniel,W.,Young,,,Mrs. Young,,,
1A,45226522,CS,Ms.,Steven,J.,Blank,,,Ms. Blank,19230308.0,,
1A,45226523,CS,Mrs.,Betty,J.,Smith,,,Mrs. Smith,19580108.0,,
1A,45226524,CS,Mr.,Clara,Johanna,Johnson,,,Mr. Johnson,19470330.0,,
1A,45226525,CS,Mr.,Jean,R.,Greigo,,,Mr. Greigo,19781030.0,,
1A,45226526,CS,Mr.,Vicki,N.,Bruner,,,Mr. Bruner,19220310.0,,
1A,45226528,CS,Mr.,Meredith, ,Velazquez,,,Mr. Velazquez,19480814.0,,
1A,45226529,CS,Mr.,Alberta,J.,Shinoda,,,Mr. Shinoda,19311227.0,,
1A,45226530,CS,Mrs.,Cassandra,D.,Lloyd,,,Mrs. Lloyd,19320830.0,,
1A,45226531,CS,Ms.,Maria,T.,Brooks,,,Ms. Brooks,19920224.0,,
1A,45226532,CS,Mr.,Brian,C.,Gearhart,,,Mr. Gearhart,19610824.0,,
1A,45226534,CS,Mrs.,Ann,R.,Calahan,,,Mrs. Calahan,19650725.0,,
1A,45226535,CS,Mr.,Suzanne, ,Ruckman,,,Mr. Ruckman,19140515.0,,
1A,45226536,CS,Mrs.,Ray, ,Gros,,,Mrs. Gros,19610703.0,,
1A,45226537,CS,Mr.,Joseph,Justin,Ham,,,Mr. Ham,19290823.0,,
1A,45226538,CS,Mrs.,Stephanie,J.,Stevenson,,,Mrs. Stevenson,19500221.0,,
1A,45226540,CS,Mr.,Julie,F.,Lowe,,,Mr. Lowe,19530101.0,,
1A,45226541,CS,Mrs.,Johanna,Tanna,Bowens,,,Mrs. Bowens,19890217.0,,
1A,45226542,CS,Mr.,Jason,Josephine,Deshotel,,,Mr. Deshotel,19440103.0,,
1A,45226543,CS,Ms.,Marguerite,N.,Manchini,,,Ms. Manchini,19140123.0,,
1A,45226544,CS,Ms.,Mandy,L.,Zink,,,Ms. Zink,19360701.0,,
1A,45226545,CS,Mr.,Erick,G.,Dennis,,,Mr. Dennis,19991117.0,,
1A,45226546,CS,Ms.,Robert,Carl,Metzner,,,Ms. Metzner,19000219.0,,
1A,45226547,CS,Ms.,Patrick,Frederick,Williams,,,Ms. Williams,19610612.0,,
1A,45226548,CS,Mr.,Shawn, ,Porter,,,Mr. Porter,19841219.0,,
1A,45226549,CS,Ms.,Maria, ,Walton,Jr.,,Ms. Walton,19940507.0,,
1A,45226551,CS,Mrs.,James,M.,Mitchell,,,Mrs. Mitchell,19680410.0,,
1A,45226552,CS,Mr.,Keith,J.,Looman,,,Mr. Looman,,,
1A,45226553,CS,Mrs.,Timothy,L.,Perez,,,Mrs. Perez,19350929.0,,
1A,45226554,CS,Mr.,Gloria,Deborah,Laing,,,Mr. Laing,19980709.0,,
1A,45226555,CS,Mrs.,Kali,Irene,Carson,,,Mrs. Carson,,,
1A,45226556,CS,Ms.,Brandi,M.,Fagg,,,Ms. Fagg,19350209.0,,
1A,45226557,CS,Mr.,Glenda,K.,Ybarra,,,Mr. Ybarra,19240910.0,,
1A,45226558,CS,Mr.,David,J.,Wilson,,,Mr. Wilson,19040904.0,,
1A,45226559,CS,Mrs.,Robert,D.,Chiu,,,Mrs. Chiu,19120929.0,,
1A,45226560,CS,Mr.,Tina,A.,Crossan,,,Mr. Crossan,19341222.0,,
1A,45226561,CS,Mr.,Constance,T.,Gomez,,,Mr. Gomez,19171023.0,,
1A,45226563,CS,Ms.,Robert,J.,Ethington,,,Ms. Ethington,19750121.0,,
1A,45226564,CS,Mr.,Geraldine,L.,Harris,,,Mr. Harris,19170623.0,,
1A,45226565,CS,Ms.,Anne, ,Monroe,,,Ms. Monroe,19870206.0,,
1A,45226566,CS,Mrs.,Betsy, ,Kelly,,,Mrs. Kelly,19120513.0,,
1A,45226567,CS,Mrs.,Brenda, ,Alford,,,Mrs. Alford,19620124.0,,
1A,45226568,CS,Mrs.,Timothy,J.,Lee,,,Mrs. Lee,19160510.0,,
1A,45226570,CS,Ms.,Viola,Virginia,Polston,,,Ms. Polston,19411120.0,,
1A,45226571,CS,Ms.,Patricia,R.,Hess,,,Ms. Hess,19680509.0,,
1A,45226572,CS,Mr.,Gus,Katrina,Kennedy,,,Mr. Kennedy,,,
1A,45226573,CS,Mrs.,Karen,C.,Lish,,,Mrs. Lish,19220215.0,,
1A,45226574,CS,Ms.,Heather, ,Badami,,,Ms. Badami,,,
1A,45226575,CS,Mr.,Todd,J.,Adams,,,Mr. Adams,19880407.0,,
1A,45226576,CS,Ms.,William, ,Nolan,,,Ms. Nolan,19630617.0,,
1A,45226577,CS,Mrs.,Amber,E.,Lewis,,,Mrs. Lewis,,,
1A,45226579,CS,Ms.,Robert,Paula,Singleton,,,Ms. Singleton,19830822.0,,
1A,45226580,CS,Mr.,Renee, ,Rochin,,,Mr. Rochin,19141101.0,,
1A,45226581,CS,Mr.,Joshua,N.,Rivera,,,Mr. Rivera,19770309.0,,
1A,45226582,CS,Mr.,Stuart,Maria,Hackett,,,Mr. Hackett,,,
1A,45226583,CS,Mrs.,Gayle,D.,Simpkins,,,Mrs. Simpkins,19020909.0,,
1A,45226584,CS,Ms.,Emery,A.,Smith,,,Ms. Smith,19090431.0,,
1A,45226585,CS,Mrs.,Marilyn,W.,Gladney,,,Mrs. Gladney,19871120.0,,
1A,45226586,CS,Mr.,Mary,I.,Frye,,,Mr. Frye,19510801.0,,
1A,45226587,CS,Mr.,Michael,B.,Castillo,,,Mr. Castillo,19510615.0,,
1A,45226588,CS,Mr.,Israel,G.,Zepeda,,,Mr. Zepeda,19530416.0,,
1A,45226589,CS,Ms.,Andrew,D.,Gonzalez,,,Ms. Gonzalez,19000917.0,,
1A,45226590,CS,Mrs.,Jack,G.,Redman,,,Mrs. Redman,19230414.0,,
1A,45226591,CS,Mrs.,Kassie, ,Buckley,,,Mrs. Buckley,19380227.0,,
1A,45226592,CS,Mr.,Bridget,T.,Johnson,,,Mr. Johnson,,,
1A,45226593,CS,Mr.,Harry,C.,Presley,,,Mr. Presley,19500716.0,,
1A,45226594,CS,Mr.,Alfredo,M.,Canady,,,Mr. Canady,,,
1A,45226595,CS,Mrs.,Charles, ,Duquette,,,Mrs. Duquette,19460727.0,,
1A,45226596,CS,Ms.,Mickey,Norma,Brown,,,Ms. Brown,19840916.0,,
1A,45226597,CS,Mrs.,Amanda, ,Terry,,,Mrs. Terry,19010129.0,,
1A,45226598,CS,Mr.,Pierre, ,Thomas,,,Mr. Thomas,19051129.0,,
1A,45226599,CS,Mrs.,Gloria,Mina,Morin,,,Mrs. Morin,19751220.0,,
1A,45226600,CS,Mrs.,Kelly,Y.,Allen,,,Mrs. Allen,19690104.0,,
1A,45226601,CS,Ms.,Joseph,C.,Covington,,,Ms. Covington,19650807.0,,
1A,45226602,CS,Mrs.,John,J.,Hess,,,Mrs. Hess,19290712.0,,
1A,45226603,CS,Mr.,Patricia,Melissa,Dalrymple,,,Mr. Dalrymple,19600722.0,,
1A,45226604,CS,Ms.,Teresa,J.,Edge,,,Ms. Edge,19771007.0,,
1A,45226605,CS,Mrs.,Nettie,C.,Pace,,,Mrs. Pace,19150424.0,,
1A,45226606,CS,Mr.,Colleen,Gail,Samples,,,Mr. Samples,19340708.0,,
1A,45226607,CS,Mr.,Barbara,B.,Chirinos,,,Mr. Chirinos,,,
1A,45226608,CS,Mrs.,Theodore,L.,Waters,,,Mrs. Waters,20040730.0,,
1A,45226609,CS,Ms.,Matthew,K.,Stanley,,,Ms. Stanley,19390509.0,,
1A,45226610,CS,Ms.,Kent,J.,Stickley,,,Ms. Stickley,19020711.0,,
1A,45226611,CS,Ms.,Antonio, ,Prine,,,Ms. Prine,,,
1A,45226612,CS,Mrs.,Austin,Timothy,Ortega,,,Mrs. Ortega,,,
1A,45226613,CS,Mrs.,Herbert, ,Granger,,,Mrs. Granger,20030816.0,,
1A,45226614,CS,Ms.,David,T.,Mcallister,,,Ms. Mcallister,19580305.0,,
1A,45226615,CS,Mrs.,Jeffrey,I.,Cockrell,,,Mrs. Cockrell,19500412.0,,
1A,45226616,CS,Mr.,Lupe,P.,Gagnon,,,Mr. Gagnon,19060301.0,,
1A,45226617,CS,Ms.,Johnny,F.,Fisher,,,Ms. Fisher,19450312.0,,
1A,45226618,CS,Mr.,Joshua,D.,Goodhart,,,Mr. Goodhart,19160902.0,,
1A,45226619,CS,Mrs.,Vivian,J.,White,,,Mrs. White,,,
1A,45226620,CS,Ms.,Stacey,D.,Watson,,,Ms. Watson,19320601.0,,
1A,45226621,CS,Mrs.,Christine,B.,Greenfield,,,Mrs. Greenfield,,,
1A,45226622,CS,Mr.,Whitney,D.,Roberts,,,Mr. Roberts,19530831.0,,
1A,45226623,CS,Ms.,Samuel,J.,Aguirre,,,Ms. Aguirre,19420705.0,,
1A,45226624,CS,Ms.,Mary,D.,Payne,,,Ms. Payne,19100928.0,,
1A,45226625,CS,Mr.,Doris,Jacqueline,Gault,,,Mr. Gault,19741225.0,,
1A,45226626,CS,Mrs.,Virginia,T.,Washington,,,Mrs. Washington,19180806.0,,
1A,45226627,CS,Mr.,Julia,J.,Mora,,,Mr. Mora,19451002.0,,
1A,45226628,CS,Mrs.,Jamie,R.,Henley,,,Mrs. Henley,19110322.0,,
1A,45226629,CS,Mrs.,Cathy,Darlene,Hinton,,,Mrs. Hinton,20070118.0,,
1A,45226630,CS,Mrs.,Ana, ,Nasers,,,Mrs. Nasers,,,
1A,45226634,CS,Mrs.,Carmen,V.,Driver,,,Mrs. Driver,,,
1A,45226635,CS,Mr.,Mary,Tricia,Coleman,,,Mr. Coleman,,,
1A,45226636,CS,Ms.,Rose,Shannon,Whittle,,,Ms. Whittle,19341112.0,,
1A,45226637,CS,Mr.,Michael, ,French,,,Mr. French,19220710.0,,
1A,45226638,CS,Mr.,Gloria,M.,Jungling,,,Mr. Jungling,19870713.0,,
1A,45226639,CS,Mrs.,Lillian,P.,Topper,,,Mrs. Topper,19510229.0,,
1A,45226640,CS,Mr.,Eric, ,Burrus,,,Mr. Burrus,19940704.0,,
1A,45226641,CS,Mrs.,James,A.,Harris,,,Mrs. Harris,19300930.0,,
1A,45226642,CS,Mr.,Mitchell,J.,Suarez,,,Mr. Suarez,19611024.0,,
1A,45226643,CS,Mr.,Esther,J.,Beveridge,,,Mr. Beveridge,19300729.0,,
1A,45226644,CS,Mrs.,Rodger,J.,Fuller,,,Mrs. Fuller,19510124.0,,
1A,45226645,CS,Mrs.,Betty,Catherine,Bland,,,Mrs. Bland,,,
1A,45226646,CS,Mr.,Rocio, ,Moore,,,Mr. Moore,19790408.0,,
1A,45226648,CS,Mr.,Nadine,M.,Chang,,,Mr. Chang,19430216.0,,
1A,45226649,CS,Mrs.,Madeline,L.,Wood,,,Mrs. Wood,,,
1A,45226650,CS,Ms.,Gary,G.,Webley,,,Ms. Webley,19841229.0,,
1A,45226651,CS,Ms.,James, ,Knapchuck,,,Ms. Knapchuck,19560324.0,,
1A,45226652,CS,Mr.,Beverly,B.,Friley,,,Mr. Friley,19140225.0,,
1A,45226653,CS,Mrs.,John,R.,Sutton,,,Mrs. Sutton,,,
1A,45226654,CS,Mrs.,James,L.,Whitmore,Jr.,,Mrs. Whitmore,19240907.0,,
1A,45226655,CS,Mrs.,Andres,K.,Delancey,,,Mrs. Delancey,19201115.0,,
1A,45226656,CS,Mr.,Whitney,C.,Chandler,,,Mr. Chandler,19760505.0,,
1A,45226657,CS,Mrs.,Timothy,Maureen,Prather,,,Mrs. Prather,19730803.0,,
1A,45226658,CS,Ms.,Jason,Megan,Seaborn,,,Ms. Seaborn,,,
1A,45226659,CS,Ms.,Josephine,P.,Worek,,,Ms. Worek,,,
1A,45226660,CS,Mr.,Linda,J.,Perry,,,Mr. Perry,,,
1A,45226661,CS,Mrs.,Julie,Angela,Slater,Jr.,,Mrs. Slater,19290621.0,,
1A,45226662,CS,Ms.,Donald,A.,King,,,Ms. King,19590631.0,,
1A,45226663,CS,Ms.,Sarah,William,Stevens,,,Ms. Stevens,19941011.0,,
1A,45226664,CS,Mr.,Lawrence,F.,Mahoney,,,Mr. Mahoney,19550113.0,,
1A,45226665,CS,Mrs.,Michael,M.,King,,,Mrs. King,19091010.0,,
1A,45226666,CS,Mrs.,Joan,B.,Morman,,,Mrs. Morman,,,
1A,45226667,CS,Mrs.,Tim, ,Deike,,,Mrs. Deike,,,
1A,45226668,CS,Mrs.,David,Michael,Canada,,,Mrs. Canada,19230117.0,,
1A,45226669,CS,Mrs.,Michael, ,Sinclair,,,Mrs. Sinclair,19520531.0,,
1A,45226670,CS,Mr.,Alberta,D.,Jernejcic,,,Mr. Jernejcic,19171220.0,,
1A,45226671,CS,Mr.,Ruben,Joyce,Sorenson,,,Mr. Sorenson,19800223.0,,
1A,45226672,CS,Mr.,Connie, ,Harrell,,,Mr. Harrell,19510623.0,,
1A,45226673,CS,Ms.,Mark,Ron,Laird,,,Ms. Laird,19030212.0,,
1A,45226674,CS,Mr.,Crystal,T.,Thibodeau,,,Mr. Thibodeau,20020906.0,,
1A,45226675,CS,Mrs.,Ray, ,Doughtie,,,Mrs. Doughtie,19740212.0,,
1A,45226676,CS,Ms.,Harry,Herman,Smith,,,Ms. Smith,19100718.0,,
1A,45226677,CS,Mrs.,James,Erik,Smith,,,Mrs. Smith,,,
1A,45226678,CS,Mrs.,Albert, ,Smith,,,Mrs. Smith,19770816.0,,
1A,45226680,CS,Ms.,David, ,Hernandez,,,Ms. Hernandez,19510422.0,,
1A,45226681,CS,Mr.,Cindy, ,Lynch,,,Mr. Lynch,19520630.0,,
1A,45226682,CS,Mrs.,Jason,G.,Neubert,,,Mrs. Neubert,19810818.0,,
1A,45226683,CS,Ms.,Clotilde,N.,Stanley,,,Ms. Stanley,19121022.0,,
1A,45226684,CS,Mr.,Lloyd,Richard,Cole,,,Mr. Cole,19020615.0,,
1A,45226685,CS,Mrs.,Chae,K.,Ramirez,,,Mrs. Ramirez,,,
1A,45226686,CS,Mrs.,James, ,Gutierrez,,,Mrs. Gutierrez,19350317.0,,
1A,45226687,CS,Mrs.,Patrick,A.,Spann,,,Mrs. Spann,,,
1A,45226688,CS,Mrs.,Howard,V.,Mcguire,,,Mrs. Mcguire,19910730.0,,
1A,45226689,CS,Ms.,Conrad,Andrew,Morris,,,Ms. Morris,19360808.0,,
1A,45226690,CS,Ms.,Ross,Lisa,Watkin,,,Ms. Watkin,19280206.0,,
1A,45226691,CS,Mrs.,Lester,W.,Barroso,,,Mrs. Barroso,19911131.0,,
1A,45226693,CS,Mrs.,Larry,Vaughn,Crawford,,,Mrs. Crawford,19870519.0,,
1A,45226694,CS,Mrs.,Steve,T.,Arnold,,,Mrs. Arnold,19880431.0,,
1A,45226695,CS,Mr.,John, ,Freeman,,,Mr. Freeman,19950616.0,,
1A,45226696,CS,Mr.,Shane, ,Lorino,Jr.,,Mr. Lorino,,,
1A,45226698,CS,Mrs.,Bessie,Linda,Kyle,II,,Mrs. Kyle,,,
1A,45226699,CS,Mrs.,Gloria,C.,Sylvester,,,Mrs. Sylvester,19830610.0,,
1A,45226701,CS,Ms.,David,K.,Covington,,,Ms. Covington,19280711.0,,
1A,45226702,CS,Mr.,Tammy, ,Milburn,,,Mr. Milburn,19590902.0,,
1A,45226703,CS,Mr.,Jennifer,Janice,Renick,,,Mr. Renick,19451012.0,,
1A,45226704,CS,Ms.,Kimberly,Carmen,Tes,,,Ms. Tes,19490921.0,,
1A,45226705,CS,Mr.,Arthur,James,Pittman,,,Mr. Pittman,19181225.0,,
1A,45226707,CS,Mrs.,Carl,S.,Aguilar,,,Mrs. Aguilar,20040721.0,,
1A,45226708,CS,Mr.,Allene, ,Cahal,,,Mr. Cahal,,,
1A,45226709,CS,Mrs.,Irene,M.,Martinez,,,Mrs. Martinez,19760104.0,,
1A,45226710,CS,Ms.,Peggy,R.,Hughes,,,Ms. Hughes,19151110.0,,
1A,45226711,CS,Mr.,Laurence, ,Correra,,,Mr. Correra,19020121.0,,
1A,45226712,CS,Mr.,Diana,D.,Serrano,,,Mr. Serrano,,,
1A,45226715,CS,Ms.,Jessie, ,Martin,,,Ms. Martin,19110606.0,,
1A,45226716,CS,Mr.,Dusty, ,Pratt,,,Mr. Pratt,,,
1A,45226717,CS,Mr.,Roderick,Marc,Stanhope,,,Mr. Stanhope,20010607.0,,
1A,45226718,CS,Ms.,Elizabeth,C.,Kenney,,,Ms. Kenney,19460314.0,,
1A,45226719,CS,Mrs.,Steven,M.,Spell,,,Mrs. Spell,19960503.0,,
1A,45226721,CS,Ms.,Alice,W.,Banks,,,Ms. Banks,19510313.0,,
1A,45226722,CS,Mrs.,Stacy,T.,Pesso,,,Mrs. Pesso,,,
1A,45226723,CS,Mrs.,Donald,C.,Chiarini,,,Mrs. Chiarini,,,
1A,45226724,CS,Mr.,Jennifer, ,Bradley,,,Mr. Bradley,19311217.0,,
1A,45226725,CS,Ms.,Barbara,J.,Yanchik,,,Ms. Yanchik,19711028.0,,
1A,45226726,CS,Mrs.,Lillian,Michael,Smith,,,Mrs. Smith,19231222.0,,
1A,45226727,CS,Ms.,Marjorie,V.,Verhoeven,,,Ms. Verhoeven,19081225.0,,
1A,45226728,CS,Mrs.,Angela,L.,Baise,Sr.,,Mrs. Baise,19321012.0,,
1A,45226729,CS,Mr.,Donald,L.,Kleinpeter,,,Mr. Kleinpeter,19260414.0,,
1A,45226730,CS,Mr.,Christopher,J.,Buchanan,,,Mr. Buchanan,19930528.0,,
1A,45226731,CS,Mrs.,Dale, ,Petersen,,,Mrs. Petersen,19550501.0,,
1A,45226733,CS,Mrs.,June, ,Walker,,,Mrs. Walker,19440419.0,,
1A,45226735,CS,Mr.,Gregory, ,Kaiser,,,Mr. Kaiser,,,
1A,45226737,CS,Mr.,Katrina,William,Mcintosh,,,Mr. Mcintosh,19930819.0,,
1A,45226738,CS,Mrs.,Jarrett,Pam,Kugler,,,Mrs. Kugler,19840525.0,,
1A,45226739,CS,Ms.,Rachael,E.,Brashier,,,Ms. Brashier,20100828.0,,
